District,Block,Month of Data Collection,Plantation Year,Tree Type,Tree species,Latitude,Longitude,GBH_cm,DBH_cm,Tree Height_foot,North South_Tree Crown Size_Foot,East West_Tree Crown Size_foot,Tree Crown_foot,tree_age_years,height_m,crown_m,_age_informative,true_dbh,pred_dbh,rel_err_pct,in_90,below_sapling_floor,co2_true,co2_pred
Ahmednagar,Jamkhed,March 2024,2022.0,Fruit,Custard apple,18.5716463,75.2842809,22.0,7.006369427,7.5,7.0,5.0,6.0,1.92,2.286,1.8288000000000002,1.0,7.006369427,7.413684273144571,5.813493712948214,True,False,28.955909184533045,33.01204672705735
Pune,Shirur,August 2023,2012.0,Fruit,Custard apple,18.73884,74.1053022,27.0,8.598726115,13.0,12.0,12.0,12.0,11.33,3.9624,3.6576000000000004,1.0,8.598726114999998,15.806841763327126,83.82771531416698,False,False,46.56724222750842,191.21150297655691
Ahmednagar,Parner,March 2024,2020.0,Fruit,Custard apple,18.8735917,74.425385,20.0,6.369426752,5.0,5.0,4.75,4.875,3.92,1.524,1.4859,1.0,6.369426752,5.881188095377377,-7.665346908484598,True,False,23.21165870931023,19.290892949527727
Ahmednagar,Shrigonda,July 2023,2021.0,Fruit,Custard apple,18.7935369,74.4694178,8.0,2.547770701,3.0,1.0,1.0,1.0,2.25,0.9144000000000001,0.3048,1.0,2.547770701,1.8578358680599592,-27.079942189037713,True,True,2.7700356364305065,1.3313443705199421
Ahmednagar,Karjat,July 2023,2020.0,Fruit,Custard apple,18.6936073,74.9250219,9.0,2.866242038,2.0,2.0,2.0,2.0,3.25,0.6096,0.6096,1.0,2.8662420379999998,2.4931276247952003,-13.017547306128774,True,True,3.6404846830585993,2.634150807605403
Ahmednagar,Parner,March 2024,2020.0,Fruit,Custard apple,18.87359,74.4252133,20.0,6.369426752,5.5,4.75,5.0,4.875,3.92,1.6764000000000001,1.4859,1.0,6.369426752,6.035167562870532,-5.247869268996784,True,False,23.21165870931023,20.482955492620412
Ahmednagar,Parner,March 2024,2020.0,Fruit,Custard apple,18.8736811,74.4250813,22.0,7.006369427,5.0,5.0,5.5,5.25,3.92,1.524,1.6002,1.0,7.006369427,6.090964224907547,-13.065328793038145,True,False,28.955909184533045,20.924977651237178
Ahmednagar,Karjat,July 2023,2020.0,Fruit,Custard apple,18.6939722,74.9257695,15.0,4.777070064,7.0,4.0,3.0,3.5,3.25,2.1336,1.0668,1.0,4.777070064,5.418061758617307,13.418092806463541,True,True,11.908259975651667,15.948187626934656
Ahmednagar,Karjat,March 2024,2017.0,Fruit,Custard apple,18.6332001,75.1032243,35.0,11.14649682,7.0,10.0,12.0,11.0,6.92,2.1336,3.3528000000000002,1.0,11.146496819999998,9.794571844317883,-12.1286983481337,True,False,85.02652884565536,62.991163208376165
Ahmednagar,Parner,March 2024,2020.0,Fruit,Custard apple,18.8735104,74.4251347,24.0,7.643312102,5.0,6.0,6.0,6.0,3.92,1.524,1.8288000000000002,1.0,7.643312101999999,6.483755333183963,-15.170867725166158,True,False,35.432897434458596,24.18973575063199
Ahmednagar,Jamkhed,March 2024,2022.0,Fruit,Custard apple,18.571435,75.2842733,17.0,5.414012739,7.0,6.0,6.8,6.4,1.92,2.1336,1.9507200000000002,1.0,5.414012739,7.578363265349677,39.97682736796524,False,False,15.920550619963201,34.73828247071646
Ahmednagar,Karjat,July 2023,2020.0,Fruit,Custard apple,18.6925528,74.9251038,25.0,7.961783439,8.0,6.0,6.0,6.0,3.25,2.4384,1.8288000000000002,1.0,7.961783439,7.619961825158885,-4.293279470108873,True,False,38.95268567407704,35.18226987333917
Ahmednagar,Karjat,March 2024,2008.0,Fruit,Custard apple,18.6382733,75.0192367,22.0,7.006369427,6.0,6.0,5.0,5.5,15.92,1.8288000000000002,1.6764000000000001,1.0,7.006369427,6.674627294497385,-4.734864981914909,True,False,28.955909184533045,25.874028753334393
Ahmednagar,Karjat,March 2024,2008.0,Fruit,Custard apple,18.6381548,75.0193164,22.0,7.006369427,5.0,6.0,5.0,5.5,15.92,1.524,1.6764000000000001,1.0,7.006369427,6.2511539935009495,-10.778983914104286,True,False,28.955909184533045,22.223938590086508
Ahmednagar,Karjat,March 2024,2017.0,Fruit,Custard apple,18.531518,75.1895011,19.0,6.050955414,7.0,6.0,7.0,6.5,6.92,2.1336,1.9812,1.0,6.050955414,7.537353234325034,24.56467976752859,True,False,20.60748253890276,34.30371419635527
Ahmednagar,Karjat,February 2024,2017.0,Fruit,Custard apple,18.6338383,75.1031333,35.0,11.14649682,9.0,10.0,11.0,10.5,6.83,2.7432000000000003,3.2004,1.0,11.146496819999998,10.44894247807143,-6.258058950655741,True,False,85.02652884565536,73.18822168555546
Ahmednagar,Parner,March 2024,2020.0,Fruit,Custard apple,18.9413793,74.4108355,13.0,4.140127389,5.5,3.5,3.0,3.25,3.92,1.6764000000000001,0.9906,1.0,4.140127389,4.8195373685334095,16.410364119194732,True,True,8.544077200340189,12.155302922226985
Ahmednagar,Parner,March 2024,2020.0,Fruit,Custard apple,18.8740414,74.4257502,17.0,5.414012739,5.25,4.25,4.25,4.25,3.92,1.6002,1.2954,1.0,5.414012739,5.457405040059052,0.801481325421967,True,False,15.920550619963201,16.218150460115634
Ahmednagar,Karjat,July 2023,2020.0,Fruit,Custard apple,18.692899,74.9252862,15.0,4.777070064,6.0,3.0,3.0,3.0,3.25,1.8288000000000002,0.9144000000000001,1.0,4.777070064,4.716217994450637,-1.2738366558184793,True,True,11.908259975651667,11.559289761790433
Ahmednagar,Jamkhed,March 2024,2022.0,Fruit,Custard apple,18.5716174,75.2850384,23.0,7.324840764,8.0,5.0,4.5,4.75,1.92,2.4384,1.4478,1.0,7.324840764,6.6541140733841955,-9.156877428821122,True,False,32.101488156493836,25.689918760849128
Ahmednagar,Karjat,March 2024,2016.0,Fruit,Custard apple,18.6390983,75.0193967,17.0,5.414012739,6.0,5.0,6.0,5.5,7.92,1.8288000000000002,1.6764000000000001,1.0,5.414012739,6.690663198566952,23.580484958422105,True,False,15.920550619963201,26.01847516093705
Ahmednagar,Parner,March 2024,2020.0,Fruit,Custard apple,18.87334,74.4250709,22.0,7.006369427,5.5,5.0,5.0,5.0,3.92,1.6764000000000001,1.524,1.0,7.006369427,6.117610524740957,-12.685013422702049,True,False,28.955909184533045,21.137966355974612
